gene_symbol,hpi_0,hpi_0_5,hpi_2,hpi_6,hpi_18,significant_hpi_6
LUC7L,214.280719660048,255.566834892669,280.138257718001,641.793501633141,920.765597100325,TRUE
CELSR3,28.9339929547619,29.9059897244077,56.4963539516656,86.1865890994936,177.043086197059,TRUE
CLK1,296.292518641392,236.595352851364,541.053780201549,1762.0784831012,5117.85894078148,TRUE
MTMR11,11.9847846956061,11.4336433398254,11.1466058826923,35.1614832901867,78.2273191638699,TRUE
MED17,236.69727825425,276.53531492649,450.354575261108,722.29981090635,665.923526959585,TRUE
LPAR2,8.70425079324966,10.9343858253106,8.04040443632226,29.4920312594228,156.239708507467,TRUE
NOTCH3,7.61072908033152,6.94029022971442,9.90412971842931,26.0903613420454,5.4256168370022,TRUE
NAALAD2,6.51719851972663,5.94174916275404,9.90412971842931,39.6970462079059,57.4242399629891,TRUE
EDN1,46.4298718961789,149.2266831549,70.1633647169714,178.031808236228,171.842240436885,TRUE
CHRNA3,6.51719851972663,7.93882226027273,11.1466058826923,35.1614832901867,52.223513694957,TRUE
HSP90AA1,5698.13615455945,6526.63991423947,11887.7727110594,24344.6652383022,11468.1080763556,TRUE
DNAJA1,3280.97515411581,4035.3848688927,6214.72386111021,12090.6978216855,6797.73647466644,TRUE
LAMB4,25.6535113708474,17.4246997807107,24.1924780807749,77.1154572657695,47.0228160862987,TRUE
HSP90AB1,5718.36573090228,6146.21178909001,11269.6514226643,16426.6996169154,8149.9598777097,TRUE
AHSA1,378.851061638898,418.821427604159,564.039195110601,1359.54693588915,1040.38534989705,TRUE
GABRE,104.384901682964,101.298723000637,160.862586243634,573.760000884745,619.115802748735,TRUE
DGKH,16.3587934100226,10.9343858253106,13.0103129968973,54.4376300318357,47.0228160862987,TRUE
CRISPLD2,16.3587934100226,28.9074881366686,107.437020931416,53.3037388120556,15.8206797071766,TRUE
SOLH,124.067736224298,102.7964718588,122.346481605288,359.454474078684,608.714086445892,TRUE
AMH,31.1209795666002,21.9179707291469,49.0416190935778,107.730528298331,291.461814271024,TRUE
HSPB1,271.142233813003,261.058579674205,291.941579118315,810.743361986896,561.906364087849,TRUE
CLDN15,15.812043641239,17.4246997807107,27.9198540899019,45.3665009134507,140.637186666119,TRUE
DKK1,48.0701094782032,147.229684910548,282.623167488673,251.734765642368,343.470365548993,TRUE
RAPGEFL1,4.87687618791312,6.44102103341228,6.17665692105884,34.027592716847,15.8206797071766,TRUE
HSPA8,11102.1667644396,14694.8611154958,28205.5534971042,48965.9892398972,15555.9834450022,TRUE
CHORDC1,457.582386836716,471.741876086502,854.773631572855,1970.71455267475,3073.9212659149,TRUE
MMP12,8.15749085231033,19.4217104716732,39.1019692688382,44.2326098972925,10.6218116876805,TRUE
